Title,Company,Location,JobDescription
Hi-Tech Council Workshop on A Hands-On Approach to Developing,"Enterprise Incubator Foundation (EIF) & Armenian High-Tech Council of
America (AHTCA)","Yerevan, Armenia
DETAIL DESCRIPTION:  No Marketing, No Success Panel Discussion
EIF and Armenian High-Tech Council of America (AHTCA) are pleased to
announce that during 3-5 May, 2004 we will present a unique opportunity
for IT sector business executives to participate in 3-days advanced
workshop on ""Developing Winning Marketing Plan"" for IT/High-Tech
sectors, which is aimed to help participants increase their sales to
export markets and become more competitive in the global marketplace.
The workshop will be delivered by highly experienced US experts - Dikran
Greg Krikorian, Roger Strauch, Harout Topsacalian and Dr. Yervant
Zorian.
The seminar will take place:
May 3, 2004
17.00 pm to 19.00 pm
AUA Business Center, room 501
(Open to General Public)
IN THE INCREASINGLY COMPETITIVE GLOBAL BUSINESS ENVIRONMENT, WHY DO
COMPANIES OF ALL SIZES CONSIDER MARKETING TO BE A KEY TO THEIR SUCCESS? 
FIND OUT WHY ARMENIAN COMPANIES MUST MASTER THIS ART IN ORDER TO
SUCCEED!
A MODERATED PANEL DISCUSSION WITH DISTINGUISHED GUESTS DISCUSSING THE
IMPORTANCE OF MARKETING IN A GLOBAL ECONOMY. IN THE NEXT 3 DAYS, ATTEND
AN INFORMATIVE PRESENTATION ON MARKETING PRINCIPLES, THAT WILL ALSO
COMBINE A HANDS-ON EXERCISE WHERE YOULL DEVELOP A MARKETING PLAN FOR A
CASE STUDY HI-TECH BUSINESS.
PANELISTS:  Roger Strauch, Chairman of The Roda Group.  The Roda Group
is a venture development company, based in Berkeley, California. Mr.
Strauchs firm, co-founded in 1997 with Dan Miller, provides
entrepreneurs the environment, resources, and guidance to launch and
grow their high technology businesses.   The Roda Group's focus on the
creation of information technology companies has lead to seed and early
stage investments in internet service, telecommunication, enterprise,
and system software companies. 
Dr. Yervant Zorian is the Vice-President and Chief Scientist at Virage
Logic.  Dr. Zorian joined the Virage Logic management team as Vice
President and Chief Scientist in 2000. Since1996, Dr. Zorian has served
as Chief Technical Advisor of LogicVision. Prior to that, Dr. Zorian
served as a Distinguished Member of the Technical Staff at Lucent
Technologies, Bell Laboratories. 
May 4  May 5, 2004
9.00-18.00
AUA Business Center, room 404
Limited space available
Ideal for business executives, academia and graduate students.
ATTEND THIS HANDS ON AND INTERACTIVE WORKSHOP TO LEARN A HANDS-ON
APPROACH ON HOW TO DEVELOP A MARKETING PLAN
- Review the basics of a good marketing plan
- Apply provided templates and samples to develop your marketing plan
- Receive feedback and ask questions on your plan on the final day of
the course
- Obtain links and resources for additional marketing know-how.
WORKSHOP LEADERS:
NOT JUST LISTENING BUT ACTIVE PARTICIPATION IN A WORKSHOP GIVEN BY
SEASONED TECHNOLOGISTS ON DEVELOPING A MARKETING PLAN FOR YOUR BUSINESS!
IN ADDITION TO A GENERAL BACKGROUND ON MARKETING PLANS, YOU WILL DEVELOP
A MARKETING PLAN IN CLASS FOR YOUR BUSINESS BASED ON THE COURSE OUTLINE.
THE INSTRUCTORS WILL THEN BE AVAILABLE TO COMMENT ON THE PLAN AND ANSWER
QUESTIONS. 
INSTRUCTORS:  Dikran Greg Krikorian, SME Business Consultant, New York,
NY. 
Dikran is currently an independent small business consultant with
consulting experience at firms such as Accenture and Ernst & Young.  He
has advised Fortune 500 companies and dozens of technology start-ups in
the areas of marketing, strategic planning, business plans, and raising
capital.  
Harout Topsacalian, Executive V.P., CreationPoint Systems, New York,
NY.
Harout is co-founder and EVP of CreationPoint Systems, a network and IT
security software firm.  Harout is a former PricewaterhouseCoopers
Senior Manager with US and international experience in consulting and
technology.
Please, see attached the workshop detailed outline.",NA
Web Developer/ Programmer,"""Click"" Web Design","Yerevan, Armenia","The Web Developer/ Programmer will develop interactive
websites."
Hi-Tech Council Workshop on A Hands-On Approach to Developing,"Enterprise Incubator Foundation (EIF) & Armenian High-Tech Council of
America (AHTCA)","Yerevan, Armenia
DETAIL DESCRIPTION:  No Marketing, No Success Panel Discussion
EIF and Armenian High-Tech Council of America (AHTCA) are pleased to
announce that during 3-5 May, 2004 we will present a unique opportunity
for IT sector business executives to participate in 3-days advanced
workshop on ""Developing Winning Marketing Plan"" for IT/High-Tech
sectors, which is aimed to help participants increase their sales to
export markets and become more competitive in the global marketplace.
The workshop will be delivered by highly experienced US experts - Dikran
Greg Krikorian, Roger Strauch, Harout Topsacalian and Dr. Yervant
Zorian.
The seminar will take place:
May 3, 2004
17.00 pm to 19.00 pm
AUA Business Center, room 501
(Open to General Public)
IN THE INCREASINGLY COMPETITIVE GLOBAL BUSINESS ENVIRONMENT, WHY DO
COMPANIES OF ALL SIZES CONSIDER MARKETING TO BE A KEY TO THEIR SUCCESS? 
FIND OUT WHY ARMENIAN COMPANIES MUST MASTER THIS ART IN ORDER TO
SUCCEED!
A MODERATED PANEL DISCUSSION WITH DISTINGUISHED GUESTS DISCUSSING THE
IMPORTANCE OF MARKETING IN A GLOBAL ECONOMY. IN THE NEXT 3 DAYS, ATTEND
AN INFORMATIVE PRESENTATION ON MARKETING PRINCIPLES, THAT WILL ALSO
COMBINE A HANDS-ON EXERCISE WHERE YOULL DEVELOP A MARKETING PLAN FOR A
CASE STUDY HI-TECH BUSINESS.
PANELISTS:  Roger Strauch, Chairman of The Roda Group.  The Roda Group
is a venture development company, based in Berkeley, California. Mr.
Strauchs firm, co-founded in 1997 with Dan Miller, provides
entrepreneurs the environment, resources, and guidance to launch and
grow their high technology businesses.   The Roda Group's focus on the
creation of information technology companies has lead to seed and early
stage investments in internet service, telecommunication, enterprise,
and system software companies. 
Dr. Yervant Zorian is the Vice-President and Chief Scientist at Virage
Logic.  Dr. Zorian joined the Virage Logic management team as Vice
President and Chief Scientist in 2000. Since1996, Dr. Zorian has served
as Chief Technical Advisor of LogicVision. Prior to that, Dr. Zorian
served as a Distinguished Member of the Technical Staff at Lucent
Technologies, Bell Laboratories. 
May 4  May 5, 2004
9.00-18.00
AUA Business Center, room 404
Limited space available
Ideal for business executives, academia and graduate students.
ATTEND THIS HANDS ON AND INTERACTIVE WORKSHOP TO LEARN A HANDS-ON
APPROACH ON HOW TO DEVELOP A MARKETING PLAN
- Review the basics of a good marketing plan
- Apply provided templates and samples to develop your marketing plan
- Receive feedback and ask questions on your plan on the final day of
the course
- Obtain links and resources for additional marketing know-how.
WORKSHOP LEADERS:
NOT JUST LISTENING BUT ACTIVE PARTICIPATION IN A WORKSHOP GIVEN BY
SEASONED TECHNOLOGISTS ON DEVELOPING A MARKETING PLAN FOR YOUR BUSINESS!
IN ADDITION TO A GENERAL BACKGROUND ON MARKETING PLANS, YOU WILL DEVELOP
A MARKETING PLAN IN CLASS FOR YOUR BUSINESS BASED ON THE COURSE OUTLINE.
THE INSTRUCTORS WILL THEN BE AVAILABLE TO COMMENT ON THE PLAN AND ANSWER
QUESTIONS. 
INSTRUCTORS:  Dikran Greg Krikorian, SME Business Consultant, New York,
NY. 
Dikran is currently an independent small business consultant with
consulting experience at firms such as Accenture and Ernst & Young.  He
has advised Fortune 500 companies and dozens of technology start-ups in
the areas of marketing, strategic planning, business plans, and raising
capital.  
Harout Topsacalian, Executive V.P., CreationPoint Systems, New York,
NY.
Harout is co-founder and EVP of CreationPoint Systems, a network and IT
security software firm.  Harout is a former PricewaterhouseCoopers
Senior Manager with US and international experience in consulting and
technology.
Please, see attached the workshop detailed outline.",NA
Web Designer,"""Click"" Web Design","Yerevan, Armenia",The Web Designer will build flash based websites.
Volunteers,IFES & CCDI,"Yerevan, Armenia","The International Foundation for Election Systems
Armenia branch (IFES/Armenia) and the Center for Community Dialogues and
Initiatives (CCDI) head office are seeking for young volunteers, who
will support IFES/Armenia and CCDI staff and instructors in everyday
work in the framework of Citizens Awareness and Participation in Armenia
project.
Volunteers (voluntarily) will assist IFES and CCDI staff and instructors
in preparing needed materials for meetings, discussions with the general
public - preparing interactive games, conducting translations, preparing
placards, printing texts, copying materials, as well as assisting in
other organizational and administrative issues. 
This experience would be more interesting to those individuals that plan
to conduct an office work in future and would like to shape their
skills, obtain new skills and work experience in international
organization. Any volunteer who would be involved in IFES and CCDI
activities would have an opportunity to:
- Deepen his/her knowledge in the area of civic education, 
- Obtain experience in preparing materials for trainings, 
- Use IFES rich library (literature on democracy, civil society,
elections), 
- Shape his/her communication skills in working area, 
- Obtain professional experience that would be applicable in other
international organizations. 
And at last
- Volunteers involved in the project would get recommendation letters
that could be used while applying for jobs in different organizations or
while applying for different educational exchange programs.
The volunteers will work part-time: from 01 May 2004 till 31 July 2004,
2-3 days per week (the work schedule will be agreed with volunteers in
advance) at IFES/Armenia office: Alek Manukyan 9, Yerevan, Armenia; and
CCDI head office: Tymanyan 8, Yerevan, Armenia."
Computer Graphic Designer,"Olympia Group, Inc.","Yerevan, Armenia","Olympia Group, Inc. is looking for an experienced
Computer Graphic Designer who can work at a very fast pace. Ability to
concept, design and execute marketing collateral, clamshells, posters,
and POP at a high level and with minimal direction. 
We're looking for someone who can develop ideas, designs, and techniques
that can be implemented into all aspects of the Company's needs."
Accountant,Armenian Forests NGO,"Yerevan, Armenia","The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for one part time position on an
expanding project. A quarter time position (approximately 10 hours per
week) available with a goal-oriented environmental NGO."
Sales Clerk / Referent,Vallex Ltd.,"Yerevan, Armenia","Vallex Ltd. is looking for a Sales Clerk/ Referent
with an educational background of Dentist or Pharmacologyst."
Merchandiser/ Trade Agent/ Marketing Manager,Arzni Mineral Water Company,"Yerevan, Armenia","Arzni Mineral Water Company is looking for a
Merchandiser/ Trade Agent/ Marketing Manager who will be responsible for
all marketing, trade & merchandising activities of company products
considering company strategies."
Administrative Assistant,Armenian Forests NGO,"Yerevan, Armenia","The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for two positions on an expanding
project. A full time (or part timesee following sentence)
Administrative Assistant position available on an ambitious,
goal-oriented environmental project. The first choice is to find the
right person for full time, however, there may be a possibility for
someone to do this as a half time position (in the first half of the
day)."
Receptionist,VTnova LLC,"Yerevan, Armenia","VTnova LLC invites applications from highly qualified
and experienced persons for the post of Receptionist."
Security Officer,SEF International Universal Credit Organisation Ltd.,"Sisian Region, Armenia","SEF International UCO Ltd., a growing universal credit
organization with an 8-year of experience in Armenia, is looking to
recruit qualified and experienced Security Officer for its Sisian
Branch. This position will carry out full-scale processing of the
problem credits, dealing with delinquent clients, as well as be
responsible for the collateral assessment process in Syunik region."
Volunteers,AIESEC in Armenia,"Yerevan, Armenia","The volunteers selected will be involved in a wide
specter of the activities of AIESEC in Armenia, some examples of those
are
- working with different types of organizations to create partnerships
in 
the frames of AIESEC Internships Program
- communicating with other AIESEC chapters for realization of
internships 
in Armenian organisations
- arranging necessary details to welcome the foreign interns, who come
to 
work in Armenia, participating in the trainings and other educational
events
- organising and participating in projects
The involvement in AIESEC is on a flexible part-time basis, taking into
account the academic duties and other responsibilities"
IREX/IATP Trainer,International Research & Exchanges Board (IREX),"Spitak, Armenia","IREX currently seeks to fill the position of part-time
trainer for the Internet Access and Training Program.  The IREX/IATP
trainer will be based in Spitak and will provide management and guidance
in issues concerning trainings development."
Archhitect Designer,LEVAND,"Arabkir district, Yerevan, Armenia","We are looking for an Architect Desiner to work in a
furniture industry."
Private Teacher,Private,"Yerevan, Armenia","A foreign businessman in Yerevan seeks a highly
qualified and experienced person, who would teach his son the subjects
in the basis of third-forth grades at school in English Language,
privately."
Program Coordinator,Children of Armenia Fund,"Yerevan, with travel to regions","Under the overall guidance and supervision of the
Children of Armenia Fund Yerevan office (COAF) Executive Director, the
Program Coordinator will be responsible for general and everyday
administration and monitoring of office funds, correspondence and
databases as well as providing other administrative support to Program.
3 months probation period with possible extension."
"Guard, FSN-3; FP-BB*",American Embassy Yerevan,"Yerevan, Armenia","The U.S. Embassy in Yerevan, Armenia is seeking an
individual for the position of Guard in the Regional Security Office."
Tester / the Engineer of Quality Assurance (QC Engineer),TopS BI,"Moscow, Russia","Company TopS BI, needs Tester/ the Engineer of quality
assurance (Quality Control (QC) Engineer) in Department of electronic
business and custom-made development. On the given direction the company
offers services on professional development of the software on the basis
of platforms J2EE, Oracle9i/10g, SAP NetWeaver, IBM WebSphere, Microsoft
.NET for Russian and western business."
Puppet Director,Save the Children,"Armenian Field Office. The project will be implemented in all
three Caucasus countriesArmenia, Azerbaijan and Georgia.","Save the Children is now seeking an experienced Puppet
Director to be involved to a regional Childrens Tolerance Education
Project (CTEP).  The project goal is to develop regional television
programming for children that is designed to enhance cross cultural
understanding and tolerance."
Java/Web-programmer,TopS BI,"Moscow, Russia","TopS BI needs Java/Web  programmer in Department of
electronic business and custom-made development. On the given direction
the company offers services on professional development of the software
on the basis of platforms J2EE, Oracle9i/10g, SAP NetWeaver, IBM
WebSphere, Microsoft .NET for Russian and western business. The basic
projects - development and introduction of corporate portals, B2B
systems, electronic trading platforms, other corporate systems. A young,
professional, vigorous team. The high quality standards are supported,
introduced RUP and tools Rational."
Java-programmer,TopS BI,"Moscow, Russia","TopS BI needs a Java-programmer in Department of
electronic business and custom-made development. On the given direction
the company offers services on professional development of the software
on the basis of platforms J2EE, Oracle9i/10g, SAP NetWeaver, IBM
WebSphere, Microsoft .NET for Russian and western business. The basic
projects - development and introduction of corporate portals, B2B
systems, electronic trading platforms, other corporate systems. A young,
professional, vigorous team. The high quality standards are supported,
introduced RUP and tools Rational."
Accountant,QSI International School of Yerevan,"Yerevan, Armenia","The QSI  International School of Yerevan seeks
candidates for one part time or full time position on an expanding job
description."
Genocide in the 20th Century: A Comparison of the Armenian and,University of Southern California,"Yerevan, Armenia
DETAIL DESCRIPTION:  Donald E. Miller
Firestone Professor of Religion, University of Southern California
will present a lecture titled
Genocide in the 20th Century: A Comparison of the Armenian and Rwandan
Genocides
Professional Activities:  Executive Director, Center for Religion and
Civic Culture at USC and Professor of Religion and Sociology. He is the
author/editor of seven books including Armenia: 
Portraits of Survival and Hope (University of California Press, 2003),
Survivors: An Oral History of the Armenian Genocide (University of
California Press, 1993), Homeless Families: The Struggle for Dignity
(University of Illinois Press, 1993), and Writing and Research in
Religious Studies (Prentice Hall, 1992). With his wife, Lorna, he has
partnered with an association of orphans in Rwanda on an oral history
project documenting the 1994 genocide. They have recently published
""Orphans of the Rwanda Genocide,"" which draws on 100 interviews with
young adults who are heading households of their surviving siblings. 
American University of Armenia,
Small Auditorium, 5th Floor
The lecture will be given in English with simultaneous interpretation
into Armenian
Admission is Free
For further information, please contact the University Extension Office
at 512-706 or by E-mail: extension@...",NA
Health Coordinator,World Vision Armenia,"World Vision Armenia' National office, Yerevan with extensive
countrywide travel. Candidate must be flexible team player willing to
travel extensively to field locations","WORLD VISION ARMENIA announces full-time position of
Health Coordinator for the implementation of a Mobile Medical Teams and
Primary Health care project.
MMT Health Coordinator will be responsible for direct coordination,
supervision and technical monitoring of the program success and
constrains in Lori."
Covering Environmental Issues,Caucasus Media Institute,"CMI, Yerevan, Armenia
DETAIL DESCRIPTION:  The Caucasus Media Institute with the collaboration
of the US Embassy in Armenia and UNEP/GRID is organizing a workshop on
coverage of ecological issues. The workshop will be conducted by British
and local media specialists. Twleve journalists from Armenian mass media
will be selected to take part and will receive certificates upon
completion. Working languages of the workshop are Armenian and English.",NA
Practical course for journalists in online journalism,Caucasus Media Institute,"CMI, Yerevan, Armenia
DETAIL DESCRIPTION:  Building Multimedia news: 
A 3-day practical course for journalists in online journalism
The Caucasus Media Institute is organizing workshop Building Multimedia
News for Armenian journalists. Online journalism has always suffered
from comparisons with broadcast and print: Is it as good, is it better,
whats it for? This course will look at what online journalism does best
 it gives journalists options of how to tell a story by combining text,
photographs and animation. Based on international examples it will use
practical demonstration of technologies such as FlashMX to bring added
value to online reporting. It will also focus on basic news reporting
skills. The course will focus more directly on story-telling techniques
in news delivery. Whereas the 2003 course took a broad approach to
interactivity on entire sites, this course will look in detail at making
a single story more interesting and engaging for the reader.
Twelve journalists from Armenian mass media will be selected to take
part and will receive certificates upon completion. Working languages of
the workshop are Armenian, Russian and English.",NA
Senior Protection Clerk,UNHCR /Armenia,"Yerevan, Armenia","The appointment is in replacement capacity for one
year GL-5"
Master of Laws - Intercultural Human Rights,"St. Thomas University School of Law, Florida, USA","Miami, Florida, USA
DETAIL DESCRIPTION:  The LL.M. Program in Intercultural Human Rights is
accepting applications for the academic year 2004-2005. The program
offers in-depth instruction on the critical issue of our time: the
protection of human dignity across political, religious, social,
economic, and cultural lines. It provides the most up-to-date legal
insights on theory, policy, and practical developments in the arena of
human rights. Through intensive courses and supplementary offerings,
students will be prepared for effective research and advocacy in the
field. In interactive dialogue, networking with distinguished faculty,
they will gain the best available inside knowledge of human rights in
action. 
Enrollment is open to holders of a law degree from the United States, or
similar foreign qualifications. On a highly selective basis, admission
may also be granted to holders of a US bachelor's degree, or its foreign
equivalent, who have shown an outstanding commitment to the cause of
human rights, social justice, and human dignity. Successful applicants
will demonstrate a strong commitment to human rights, creativity, and
the intellectual capacity to succeed in a demanding academic setting.
REQUIREMENTS:  Cost: Tuition and fees equal $19,100. Limited
scholarships, based on academic excellence and financial need, are
available.",NA
Quality Assurance Group Manager,UNICAD CJSC,"Yerevan, Armenia","The individual will be responsible for design,
implementation, and execution of application specific functional tests
and will work closely with software developers and other QA team members
to deliver on time quality releases through continuous improvement of
the testing and development process."
Bilateral Diplomacy,DiploFoundation,"Genve, Switzerland
DETAIL DESCRIPTION:  The objective of this postgraduate level online
course offered by DiploFoundation is to acquaint participants with
bilateral diplomacy; one of the essential building blocks of
international relations. Teaching of basic theory is combined with
concrete experience resulting from the actual practice of diplomacy. The
course should give participants a complete overview of the content and
methods of bilateral diplomacy, with practical examples that equip them
to analyse international affairs. 
This course is conducted entirely online, over a period of two months.
Participants will receive a course orientation pack by mail prior to the
course, access lecture materials online, and attend weekly online
sessions with the lecturer. Successful candidates will receive a
postgraduate level certificate from DiploFoundation. 
Lecturer: Ambassador KISHAN S. RANA retired as ambassador to Germany in
1995, after 35 years in the Indian Foreign Service (serving as
ambassador/high commissioner in Algiers, Prague, Nairobi, and Mauritius,
and consul general in San Francisco). He was a joint secretary in Prime
Minister Indira Gandhi's office from 1981 to 1982. Ambassador Rana
specialised in economic diplomacy, and worked initially on Chinese
affairs. Since 1995 he has worked as a business advisor, assisting
international and Indian companies, and taught at the Foreign Service
Institute, New Delhi. He has written a study of the diplomatic process,
Inside Diplomacy (October 1999), and is co-author of Managing Corporate
Culture, a book on business culture in India (November 1999). His most
recent publication is Bilateral Diplomacy (2002). 
DiploFoundation is an international provider of online training and
education in the field of diplomacy and international relations, with 10
years of experience.
EDUCATIONAL LEVEL:  Postgraduate",NA
Quality Assurance Senior Engineer,UNICAD CJSC,"Yerevan, Armenia","The individual will be responsible for design,
implementation, and execution of application specific functional tests
and will work closely with software developers and team subordinate
members to deliver on time quality releases through continuous
improvement of the testing and development process."
Quality Assurance Engineer,UNICAD CJSC,"Yerevan, Armenia","The individual will be responsible for design,
implementation, and execution of application specific functional tests
and will work closely with software developers."
Quality Assurance Junior Engineer,UNICAD CJSC,"Yerevan, Armenia","The individual will take part in design,
implementation, and execution of application specific functional tests."
Data Base Software Junior Engineer,UNICAD CJSC,"Yerevan, Armenia","The individual will take part in design,
implementation, and execution of software tools."
Physical Design Software Engineer,UNICAD CJSC,"Yerevan, Armenia","The individual will take part in design,
implementation, and execution of software tools."
Financial Analyst,Conservation International,"Washington, DC","The position assists with the financial analysis,
reporting, support, and training needed to implement sound financial
management practices across CI."
Lawyer,United Methodist Committee On Relief,"Yerevan, Armenia","UMCOR (United Methodist Committee On Relief) Armenia
announces the following vacancy for its AREGAK micro credit program:"
Field Accounting Manager,Conservation International,"Washington, DC","Manages the maintenance and consolidation of CI's
field offices' books, and works closely with Regional Finance and Senior
Director of Accounting to ensure field offices utilize international
accounting standards. He/she optimizes Oracle functionality."
Mechanical Design Engineer,ARQELL CJSC,"Yerevan, Armenia","We are seeking a Mechanical Design Engineer, a
professional who has diverse experience in all designing aspects of
manufacturing of mechanical equipment. Incubment reports directly to the
Head of Mechanical Design Department."
Global Advocacy Director,Human Rights Watch,"New York, NY, USA","Human Rights Watch, the international monitoring and
advocacy organization, seeks a senior member of its staff to direct its
global advocacy efforts.
The Global Advocacy Director is the chief advocacy strategist for HRW,
with responsibility for ensuring the highest standards of quality and
effectiveness for HRW's diverse advocacy efforts."
Programmer,ASPO (Armenian Software Project Outsource),"Yerevan, Armenia","A qualified programmer is needed in order to
participate in projects."
Programmer,CIT Ltd,"Yerevan, Armenia","A qualified programmer is needed in order to
participate in projects."
Sales & Marketing Specialist,Valensia Hotel & Resort,"Yerevan, Armenia","Valensia Hotel & Resort is looking for a Sales &
Marketing Specialist."
Cheif Accountant,"""Armenian-American Food Processing Company"" JV LLC","Armenia, Village Merdzavan (on the road to Zvardnots)
(transport provided)",Keeping complete accounting of the company.
Local Information Officer,EIR Development Partners,"Tbilisi, Georgia","EIR Development Partners is searching for a Local
Information Officer for 
Georgia who would satisfy the above-mentioned requirements and could
provide 
a total input of 96 man days during 20 months of project operation (from
now 
till January 2006). The activities of the Local Information Officer will
cover the area of Georgia and Armenia.
To ensure cost-effectiveness of resources, activities will be set and
agreed 
between the Team leader and the local information officers on a monthly
basis 
and reviewed on a weekly basis.
Overall objective
Provide support to the Consortium in developing the communication
products of 
the project and in liaising with Local Information Providers (managed by
the 
EC Delegations) and other Tacis stakeholders."
Assistant to Information Point Coordinator in Armenia,Regional Environmental Centre for the Caucasus,"Yerevan, Armenia","REC Caucasus announces vacancy for the position of
Assistant to Information Point Coordinator in Armenia."
Programmer,Verisoft Emirates,"Sharjah, United Arab Emirates","Design and implementation of various banking
applications."
Network Administrator,CIT Ltd,"Yerevan, Armenia","CIT is looking for a qualified network administrator
to deal with LAN and WANs."
Senior Democratization Assistant,OSCE Office in Yerevan,"Yerevan, Armenia","The OSCE Office in Yerevan invites applications from
highly qualified, energetic and experienced Armenian professionals for
the post of Senior Democratization Assistant."
"Visa Assistant, FSN-7; FP-07*",AMERICAN EMBASSY YEREVAN,"Yerevan, Armenia","The U.S. Embassy in Yerevan, Armenia is seeking an
individual for the position of Visa Assistant in the Consular Section."
"Taxation Specialist, Financial Control Department",HSBC Bank Armenia CJSC,"Yerevan, Armenia",N/A
Driver for UNDP 00011256 Project,UNDP Armenia,"Yerevan, Armenia, with travel to regions",N/A
Project Assistant,UNDP Armenia,"Yerevan, Armenia","The anticipated result of the services provided by the
incumbent is to ensure timely and qualified delivery of the Project
outputs as per the approved project document and the work plan."
Senior Java Developers,Viasphere Technopark,"Yerevan, Armenia","Design and Development of complete Java Web
Applications for a commercial web site."
Web Programmer,Odyssee Productions,"Yerevan, Armenia","We are  looking for experienced, self-motivated,
initiative driven developers of mobile applications.
The candidate should work with us from his/her own location. All our
transactions will be done over the net or phone."
ICT Specialist,UNDP Armenia,"Yerevan, Armenia","Supervisors Title: Operations Manager
Posts Supervised:  N/A
Principal Functions: The incumbent will perform the duties indicated
below to ensure effective functioning of the electronic information and
knowledge management systems in the UNDP Armenia Country Office (CO)."
Assistant/Associate Professors (5 posts),Nottingham University Business School,Malaysia,"Nottingham University Business School is a UK
management school offering world-class programmes in the UK, Malaysia,
Singapore, and, from 2005, in China. As part of continuing expansion of
the Malaysia Campus in Kuala Lumpur, we are inviting applications from
suitably-qualified candidates for academic posts in the following areas:
Finance/Accounting 
Organisational Behaviour / Human Resource Management 
Managerial/Industrial Economics 
Corporate Strategy"
Marketing Officer,World Vision Armenia,"Yerevan, Armenia","The following full time position starting as soon as
possible is based in the Customer Relations Services/Marketing
Department at World Vision Armenias National Office in Yerevan. 
The purpose of this position is to cultivate and maintain positive
relationships through publication of key marketing materials WV Armenia
donor community, World Vision support offices, and key stakeholders. To
promote the good name of the organization in Armenia and abroad through
marketing activities supported by the positions indicated skills."
Policy Officer,World Vision Armenia,"Yerevan, Armenia","The following full time position starting as of the
second week of May is based in World Vision Armenias National Office in
Yerevan. Candidates must be flexible team players willing to work in a
team.
The purpose of this position is to raise awareness on vulnerable
childrens issues and advocate for the protection of child rights to
Government, local communities, other NGOs, World Vision staff and other
stakeholders/authorities as appropriate and defined by the CPP Manager."
Project Associate,UNDP Armenia,"Yerevan, Armenia, with travel to regions",N/A
Junior Architect,Hovnanian International Ltd. - Vahakni Community,"Yerevan, Armenia","Hovnanian International is looking for a highly
motivated person to fulfill the full-time position of a junior
architect. The incumbent will work closely with the architectural
department and will report to the Chief Architect."
Driver,UNITED METODIST COMMITTEE ON RELIEF - UMCOR Armenia Office,"Yerevan, Armenia with travel to regions and NK","UMCOR/Armenia announces a vacant position of a driver
for ""AREGAK"" microlending program."
Processing Manager,AgVANTAGE,"Tbilisi, Georgia","This position description for the Processing Manager
will be implemented by the employee, under the supervision of the
Production and Processing Director in accordance with the policies,
procedures, and guidelines established in the organization. The
individual will contribute to the development of a positive and
professional work environment by representing the Processing unit and
the entire organization in an appropriate manner.
This person will need to work cooperatively with field production and
processing specialists and agricultural sector personnel to develop a
program that results in expanded production and marketing of Georgia
products in meaningful quantities, consistent quality and supply to
attract buyers at international markets.
Job Structure:
This position reports directly to the Production and Processing
Director. In the absence of direct supervisor, this position reports to
the General Director. This position supervises team of processing staff."
Chief Accountant,ISP Geonet,"Tbilisi, Georgia","ISP Geonet announces an opening for the full time
position of Chief Accountant."
Principal Assistant to the Head of Office,UNICEF Georgia,"Tbilisi, Georgia","Under the direct supervision of the UNICEF Country
Representative the incumbent performs full personal assistant and
secretarial functions.
Terms of Employment: After an initial trial period, a one-year contract
(renewable) in accordance with the salary, benefits and allowances of a
GS-5 post applicable to all staff of the United Nations system."
Junior Internal Auditor,United Georgian Bank,"Tbilisi, Georgia","United Georgian Bank is seeking for qualified
candidates for the position of Junior Internal Auditor for Lending
Operations. He/she will closely collaborate with the team of experienced
internal auditors."
Credit Officer,JSC Intellectbank/Central Branch,"Tbilisi, Georgia",JSC Intellectbank is looking for a Credit Officer.
Secretary/Chancellery Clerk,"ProCredit Bank, Georgia","Tbilisi, Georgia","ProCredit Bank, Georgia announces the vacancy of the
Secretary/Chancellery Clerk for its Central Branch in Tbilisi."
Accountant/Financial Analyst,People's Bank of Georgia,"Tbilisi, Georgia","People's Bank of Georgia is announcing the vacancy for
the position of Accountant/Financial Analyst, Plastic Card Department."
Local Conflict Management consultant,GTZ - FRCS,"Ijevan town, Tavush, Armenia.","We are looking for a Local Conflict Management
consultant for Food Security Regional Cooperation and Stability
Programme in South Caucasus (FRCS)"
ASTP Project Specialist,PADCO Representation in Armenia,"Vanadzor, Armenia","Project Specialist will support in developing and
implementing the non-clinical tasks of the ASTP pilot activities in Lori
sites, such as: Vanadzor PC 4 and non-pilot PCs implementing open
enrollment, Vahagni ambulatory with 6 rural FAPs, Dsegh ambulatory with
6 rural FAPs, Tumanyan ambulatory with 2 rural FAPs. The
responsibilities include but are not limited to the following:"
European Regional Open Source Conference & Workshop in Armenia,UITE,"Yerevan, Armenia
DETAIL DESCRIPTION:  The Union Of IT Enterprises within the framework of
Open Source Armenia project and in partnership with the Armenian
High-Tech Council of America and Enterprise Incubator Foundation
announces upcoming European Regional Open Source Conference and Workshop
to be held in Yerevan, Armenia in June 28 - July 2, 2004.
The Conference and Workshops will be devoted to various aspects of Open
Source movement and practical applications of Open Source Software in
various industries, such as e-Business, e-Governement, e-Development,
e-Learning, e-Health, etc. 
We are expecting to have NGO leaders and top-managers of global
companies companies engaged in Open Source promotion from Europe and the
US, as well as local businesses and high-ranking government officials. 
More detailed info about the upcoming Conference and Workshop and
web-site for registration will be available these days on our web-site
at http://www.opensourcearmenia.com",NA
Sales representative,ASMIDA,"Yerevan, Armenia","Distribution of cosmetic and laundry products to
retail points in Yerevan."
